Site_ID,Site_Name,Sample_Name,Field_Staff,Date,Time_Zone,Time_Arriving,Time_Leaving,Latitude,Longitude,GPS_Accuracy,Manta_Time_Turned_On,Manta_Start_Time,Manta_End_Time,Manta_Time_Turned_Off,Manta_SN,BaroTROLL_Time_Turned_On,BaroTROLL_Start_Time,BaroTroll_End_Time,BaroTroll_Time_Turned_Off,BaroTroll_SN,YSI_SN,Notes
T07,Yakima at Kiona,RC2_0042,Stephanie_Fulton; Lupita_Renteria,6/3/2021,PST,17:08:00,18:00:00,46.254531,-119.473604,17,8:53:00,17:24,17:50,17:55,03214659L,8:30:00,17:11:00,17:50,20:00:00,801493,15K100760,N/A
T06,American River,RC2_0031,Stephanie_Fulton; Lupita_Renteria,5/27/2021,PST,8:55:00,9:25:00,46.977734,-121.168387,14,9:00:00,9:02,9:23,17:08,03214659L,-9999,-9999,-9999,-9999,801493,15K100760,All times today are in military time PST. Fulton's watch and both Renteria/Fulton iPhones also similarly set. Spectrolyzer reads in PDT. Manta had storage cup on during deployment. Post-field (meta)data sheet corrections (by S. Fulton): aroTROLL was mistakenly scheduled to log data in 12-hr time in PDT from 10:00 AM to 10:30 PM on 2021/05/27 (13.5 hours). “Time turned on” and “Time turned off” time stamps had been left blank on the (meta)data sheet during sampling. Furthermore; on May 13; 2021; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:36 PM PDT on 2021/05/26 and 6:06 AM PDT on 2021/05/27; respectively; so logging ended prematurely at 6:06 AM PDT the day of sampling and no baroTROLL data was collected. 
T05P,Little Naches at Nile,RC2_0032,Stephanie_Fulton; Lupita_Renteria,5/27/2021,PST,9:38:00,10:07:00,46.98923,-121.098604,16,9:00:00,9:45,10:04,17:08,03214659L,-9999,-9999,-9999,-9999,801493,15K100760,Sprinkling during sampling. Manta had storage cup on during deployment. Post-field (meta)data sheet corrections (by S. Fulton): BaroTROLL was mistakenly scheduled to log data in 12-hr time in PDT from 10:00 AM to 10:30 PM on 2021/05/27 (13.5 hours). “Time turned on” and “Time turned off” time stamps had been left blank on the (meta)data sheet during sampling. Furthermore; on May 13; 2021; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:36 PM PDT on 2021/05/26 and 6:06 AM PDT on 2021/05/27; respectively; so logging ended prematurely at 6:06 AM PDT the day of sampling and no baroTROLL data was collected. 
T42,Naches River Craig Road 2,RC2_0033,Stephanie_Fulton; Lupita_Renteria,5/27/2021,PST,10:55:00,11:38:00,46.7288,-120.713656,16,9:00:00,11:26,11:36,17:08,03214659L,-9999,-9999,-9999,-9999,801493,15K100760,Cloudy with blue skies. Redeployed Manta at 11:26 after realizing the storage/calibration cup had been left on! Also left on at American R and Little Naches R. Post-field (meta)data sheet corrections (by S. Fulton): BaroTROLL was mistakenly scheduled to log data in 12-hr time in PDT from 10:00 AM to 10:30 PM on 2021/05/27 (13.5 hours). “Time turned on” and “Time turned off” time stamps had been left blank on the (meta)data sheet during sampling. Furthermore; on May 13; 2021; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:36 PM PDT on 2021/05/26 and 6:06 AM PDT on 2021/05/27; respectively; so logging ended prematurely at 6:06 AM PDT the day of sampling and no baroTROLL data was collected.
T03,Yakima at Union Gap,RC2_0034,Stephanie_Fulton; Lupita_Renteria,5/27/2021,PST,12:26:00,13:13:00,46.530529,-120.470657,17,9:00:00,12:48,13:08,17:08,03214659L,-9999,-9999,-9999,-9999,801493,15K100760,Deployed Manta and spectrolyzer using tripod for the 1st time. Extremely windy; blue skies with scattered clouds. Post-field (meta)data sheet corrections (by S. Fulton): BaroTROLL was mistakenly scheduled to log data in 12-hr time in PDT from 10:00 AM to 10:30 PM on 2021/05/27 (13.5 hours). “Time turned on” and “Time turned off” time stamps had been left blank on the (meta)data sheet during sampling. Furthermore; on May 13; 2021; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:36 PM PDT on 2021/05/26 and 6:06 AM PDT on 2021/05/27; respectively; so logging ended prematurely at 6:06 AM PDT the day of sampling and no baroTROLL data was collected.
T02,Yakima at Mabton,RC2_0035,Stephanie_Fulton; Lupita_Renteria,5/27/2021,PST,14:24:00,15:25:00,46.232046,-120.000226,15,9:00:00,14:50,15:20,17:08,03214659L,-9999,-9999,-9999,-9999,801493,15K100760,Super windy. Post-field (meta)data sheet corrections (by S. Fulton): BaroTROLL was mistakenly scheduled to log data in 12-hr time in PDT from 10:00 AM to 10:30 PM on 2021/05/27 (13.5 hours). “Time turned on” and “Time turned off” time stamps had been left blank on the (meta)data sheet during sampling. Furthermore; on May 13; 2021; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:36 PM PDT on 2021/05/26 and 6:06 AM PDT on 2021/05/27; respectively; so logging ended prematurely at 6:06 AM PDT the day of sampling and no baroTROLL data was collected. 
T07,Yakima at Kiona,RC2_0036,Stephanie_Fulton; Lupita_Renteria,5/27/2021,PST,16:20:00,17:12:00,46.254452,-119.473591,17,9:00:00,16:42,17:01,17:08,03214659L,-9999,-9999,-9999,-9999,801493,15K100760,All sensors deployed where water quality samples have been taken; which is ~50-75' downstream from original deployment location. Post-field (meta)data sheet corrections (by S. Fulton): BaroTROLL was mistakenly scheduled to log data in 12-hr time in PDT from 10:00 AM to 10:30 PM on 2021/05/27 (13.5 hours). “Time turned on” and “Time turned off” time stamps had been left blank on the (meta)data sheet during sampling. Furthermore; on May 13; 2021; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:36 PM PDT on 2021/05/26 and 6:06 AM PDT on 2021/05/27; respectively; so logging ended prematurely at 6:06 AM PDT the day of sampling and no baroTROLL data was collected.
T06,American River,RC2_0025,Stephanie_Fulton; Lupita_Renteria,5/20/2021,PST,9:08:00,9:45:00,46.977701,-121.168409,15,9:06:00,9:15,9:42,16:43,03214659L,8:00:00,9:09:00,9:42,21:00:00,801493,15K100760,"1) Today we started recording time in PST (mistakenly used PDT prior to today). 2) Deployed a new Manta today (previous one needs new wiper). 3) Restarted spectrolyzer because we weren't sure computer had found the probe. 1st time using new extension cable (connected with marine-grade shrink wrap). Post-field (meta)data sheet corrections (by S. Fulton): 1)	Photograph time stamps are in PDT. 2)	Manta logging was manually turned on upon arrival at the American River site at 9:06 PST and manually turned off upon departure from the Yakima River at Kiona site at 16:43 PST. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-20_MANTA_4659L.LOG"": the time stamps are two (2) hours ahead of PST."
T05P,Little Naches at Nile,RC2_0026,Stephanie_Fulton; Lupita_Renteria,5/20/2021,PST,10:00:00,10:29:00,46.989284,-121.098546,17,9:06:00,10:02,10:23,16:43,03214659L,8:00:00,10:00:00,10:28,21:00:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Photograph time stamps are in PDT. 2) Manta logging was manually turned on upon arrival at the American River site at 9:06 PST and manually turned off upon departure from the Yakima River at Kiona site at 16:43 PST. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-20_MANTA_4659L.LOG"": the time stamps are two (2) hours ahead of PST. "
T42,Naches River Craig Road 2,RC2_0027,Stephanie_Fulton; Lupita_Renteria,5/20/2021,PST,11:23:00,11:59:00,46.728781,-120.713599,-9999,9:06:00,11:29,11:44,16:43,03214659L,8:00:00,11:23:00,11:49,21:00:00,801493,15K100760,"Started to rain while recording spectrolyzer data. Post-field (meta)data sheet corrections (by S. Fulton): 1) Photograph time stamps are in PDT. 2) Manta logging was manually turned on upon arrival at the American River site at 9:06 PST and manually turned off upon departure from the Yakima River at Kiona site at 16:43 PST. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-20_MANTA_4659L.LOG"": the time stamps are two (2) hours ahead of PST. "
T03,Yakima at Union Gap,RC2_0028,Stephanie_Fulton; Lupita_Renteria,5/20/2021,PST,12:35:00,13:15:00,46.530495,-120.470641,16,9:06:00,12:47,13:15,16:43,03214659L,8:00:00,12:49:00,13:15,21:00:00,801493,15K100760,"*Manta start time may actually have been ~12:45 (forgot the time after checking watch). ***Vial ID not recorded in the field; but added on 6/12/21. Checked vial IDs at Naches (site just prior to Union Gap) and Mabton (site just after Union Gap) to confirm vial ID for Union Gap. **No ""Time Leaving"" was recorded; but estimate it to be ~13:15 based on Manta and barotroll ""Time done."" Post-field (meta)data sheet corrections (by S. Fulton): 1) Photograph time stamps are in PDT. 2) Manta logging was manually turned on upon arrival at the American River site at 9:06 PST and manually turned off upon departure from the Yakima River at Kiona site at 16:43 PST. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-20_MANTA_4659L.LOG"": the time stamps are two (2) hours ahead of PST. "
T02,Yakima at Mabton,RC2_0029,Stephanie_Fulton; Lupita_Renteria,5/20/2021,PST,14:32:00,15:15:00,46.232023,-120.000242,16,9:06:00,14:43,15:08,16:43,03214659L,8:00:00,14:43:00,15:08,21:00:00,801493,15K100760,"Sprinkling the entire time we have been here. Post-field (meta)data sheet corrections (by S. Fulton): 1)	Photograph time stamps are in PDT. 2)	Manta logging was manually turned on upon arrival at the American River site at 9:06 PST and manually turned off upon departure from the Yakima River at Kiona site at 16:43 PST. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-20_MANTA_4659L.LOG"": the time stamps are two (2) hours ahead of PST. "
T07,Yakima at Kiona,RC2_0030,Stephanie_Fulton; Lupita_Renteria,5/20/2021,PST,16:03:00,16:42:00,46.254232,-119.473537,16,9:06:00,16:14,16:38,16:43,03214659L,8:00:00,16:04:00,16:38,21:00:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Photograph time stamps are in PDT. 2) Manta logging was manually turned on upon arrival at the American River site at 9:06 PST and manually turned off upon departure from the Yakima River at Kiona site at 16:43 PST. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-20_MANTA_4659L.LOG"": the time stamps are two (2) hours ahead of PST. "
T06,American River,RC2_0019,Stephanie_Fulton; Lupita_Renteria,5/13/2021,PST,8:40:00,9:10:00,46.977609,-121.168413,15,8:40:00,8:49,9:06,17:29,03214653L,5:18:00,8:52:00,9:14,18:48:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when the time zone was actually PDT; and all time stamps were manually recorded incorrectly in PDT with very few exceptions (see #4; below). The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site at 8:40 PST and manually turned off upon departure from the Yakima River at Kiona site at 17:29 PST. “Time turned off” time stamp was not entered on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-13_MANTA_4653L.LOG"": the time stamps are one (1) hour ahead of PST. The “Time turned off” time stamp was determined the log file and correctly digitized in PST in the Google Form by subtracting 1 hour. 4) BaroTROLL was scheduled to log data in 12-hr time from 7:30 AM to 9:00 PM PST (13.5 hours). The scheduled “Time turned on” time stamp was manually recorded on the (meta)data sheet in the field; but the “Time turned off” time stamp was left blank. On May 13; 2021; however; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “time turned off” time stamps are actually 5:18 AM PST and 6:48 PM PST; respectively. To avoid confusion; the “Time turned on” time stamp was crossed out and the “Time turned off” time stamp was left blank on the (meta)data sheet; but the correct time stamps were determined from the log file; converted to 24-hr time; and all four time stamps were correctly digitized in 24-hr time in PST on the Google Form."
T05P,Little Naches at Nile,RC2_0020,Stephanie_Fulton; Lupita_Renteria,5/13/2021,PST,9:42:00,10:07:00,46.989221,-121.098695,15,8:40:00,9:41,10:05,17:29,03214653L,5:18:00,9:43:00,10:07,18:48:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when the time zone was actually PDT; and all time stamps were manually recorded incorrectly in PDT. The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site at 8:40 PST and manually turned off upon departure from the Yakima River at Kiona site at 17:29 PST. “Time turned on” and “Time turned off” time stamps were left blank on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-13_MANTA_4653L.LOG"": the time stamps are one (1)  hour ahead of PST. Missing “Time turned on” and “Time turned off” time stamps were determined from the American River (meta) data sheet and the log file; respectively; and correctly digitized in PST in the Google Form by subtracting 1 hour. 4) BaroTROLL was scheduled to log data in 12-hr time from 7:30 AM to 9:00 PM PST (13.5 hours). “Time turned on” and “Time turned off” time stamps were left blank. On May 13; 2021; however; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:18 AM PST and 6:48 PM PST; respectively. The correct “Time turned on” and “Time turned off” time stamps were determined from the log file; converted to 24-hr time; and all four time stamps were correctly digitized in 24-hr time in PST on the Google Form."
T42,Naches River Craig Road 2,RC2_0021,Stephanie_Fulton; Lupita_Renteria,5/13/2021,PST,11:20:00,11:51:00,46.728835,-120.71359,12,8:40:00,11:23,11:49,17:29,03214653L,5:18:00,11:25:00,11:48,20:48:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Tme zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when the time zone was actually PDT; and all time stamps were manually recorded incorrectly in PDT. The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site at 8:40 PST and manually turned off upon departure from the Yakima River at Kiona site at 17:29 PST. “Time turned on” and “Time turned off” time stamps were left blank on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the timestamps are wrong in log file ""2021-05-06_MANTA_4653L.LOG"": the time stamps are one (1) hour ahead of PST. Missing “Time turned on” and “Time turned off” time stamps were determined from the American River (meta) data sheet and the log file; respectively; and correctly digitized in PST in the Google Form by subtracting 1 hour. 4) BaroTROLL was scheduled to log data in 12-hr time from 7:30 AM to 9:00 PM PST (13.5 hours). “Time turned on” and “Time turned off” time stamps were left blank. On May 13; 2021; however; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:18 AM and 6:48 PM PST; respectively.  The correct “Time turned on” and “time turned off” time stamps were determined from the log file; converted to 24-hr time; and all four time stamps were correctly digitized in 24-hr time in PST on the Google Form."
T03,Yakima at Union Gap,RC2_0022,Stephanie_Fulton; Lupita_Renteria,5/13/2021,PST,12:55:00,13:31:00,46.53049,-120.470651,14,8:40:00,12:58,13:28,17:29,03214653L,5:18:00,13:04:00,13:29,20:48:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when the time zone was actually PDT; and all time stamps were manually recorded incorrectly in PDT. The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site at 8:40 PST and manually turned off upon departure from the Yakima River at Kiona site at 17:29 PST. “Time turned on” and “Time turned off” time stamps were left blank on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the timestamps are wrong in log file ""2021-05-06_MANTA_4653L.LOG"": the time stamps are one (1) hour ahead of PST. Missing “Time turned on” and “Time turned off” time stamps were determined from the American River (meta) data sheet and the log file; respectively; and correctly digitized in PST in the Google Form by subtracting 1 hour. 4) BaroTROLL was scheduled to log data in 12-hr time from 7:30 AM to 9:00 PM PST (13.5 hours). “Time turned on” and “Time turned off” time stamps were left blank. On May 13; 2021; however; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:18 AM and 6:48 PM PST; respectively.  The correct “Time turned on” and “Time turned off” time stamps were determined from the log file; converted to 24-hr time; and all four time stamps were correctly digitized in 24-hr time in PST on the Google Form."
T02,Yakima at Mabton,RC2_0023,Stephanie_Fulton; Lupita_Renteria,5/13/2021,PST,15:00:00,15:51:00,46.232042,-120.000027,15,8:40:00,15:38,15:49,17:29,03214653L,5:18:00,15:19:00,15:48,20:48:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when the time zone was actually PDT; and all time stamps were manually recorded incorrectly in PDT. The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site at 8:40 PST and manually turned off upon departure from the Yakima River at Kiona site at 17:29 PST. “Time turned on” and “Time turned off” time stamps were left blank on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the timestamps are wrong in log file ""2021-05-06_MANTA_4653L.LOG"": the time stamps are one (1) hour ahead of PST. Missing “Time turned on” and “Time turned off” time stamps were determined from the American River (meta) data sheet and the log file; respectively; and correctly digitized in PST in the Google Form by subtracting 1 hour. 4) BaroTROLL was scheduled to log data in 12-hr time from 7:30 AM to 9:00 PM PST (13.5 hours). “Time turned on” and “Time turned off” time stamps were left blank. On May 13; 2021; however; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:18 AM and 6:48 PM PST; respectively.  The correct “Time turned on” and “Time turned off” time stamps were determined from the log file; converted to 24-hr time; and all four time stamps were correctly digitized in 24-hr time in PST on the Google Form."
T07,Yakima at Kiona,RC2_0024,Stephanie_Fulton; Lupita_Renteria,5/13/2021,PST,16:55:00,17:32:00,46.254238,-119.473555,19,8:40:00,16:59,17:28,17:29,03214653L,5:18:00,17:01:00,17:28,20:48:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when the time zone was actually PDT; and all time stamps were manually recorded incorrectly in PDT. The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site at 8:40 PST and manually turned off upon departure from the Yakima River at Kiona site at 17:29 PST. “Time turned on” and “Time turned off” time stamps were left blank on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the timestamps are wrong in log file ""2021-05-06_MANTA_4653L.LOG"": the time stamps are one (1) hour ahead of PST. Missing “Time turned on” and “Time turned off” time stamps were determined from the American River (meta) data sheet and the log file; respectively; and correctly digitized in PST in the Google Form by subtracting 1 hour. 4) BaroTROLL was scheduled to log data in 12-hr time from 7:30 AM to 9:00 PM PST (13.5 hours). “Time turned on” and “Time turned off” time stamps were left blank. On May 13; 2021; however; RC-2 discovered that logging had been started manually in error; and “Time turned on” and “Time turned off” time stamps are actually 5:18 AM and 6:48 PM PST; respectively.  The correct “Time turned on” and “Time turned off” time stamps were determined from the log file; converted to 24-hr time; and all four time stamps were correctly digitized in 24-hr time in PST on the Google Form."
T06,American River,RC2_0013,Lupita_Renteria; Aaron_Pelly,5/6/2021,PST,9:10:00,10:20:00,46.977666,-121.168446,14,9:16:00,9:17,10:20,17:59,03214655L,8:00:00,9:20:00,10:10,21:00:00,801493,15K100760,"Changed Manta ""Time turned off"" per Lupita. She checked the time that photos were taken using her phone; and realized that phone time is PDT. That; in conjunction with Manta data showling last data record at site was recorded at 12:17 (2 hrs ahead of PST); which should be 10:17 PST.
Post-field (meta)data sheet corrections (by S. Fulton):
1)	Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when it was actually PDT; and all time stamps were manually recorded incorrectly in PDT with very few exceptions (see #4; below). The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST.
2)	Photograph time stamps are in PDT.
3)	Manta logging was manually turned on upon arrival at the American River site and manually turned off upon departure from the Yakima River at Kiona site. “Time turned off” time stamp was not entered on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the timestamps are wrong in log file ""2021-05-06_MANTA_4655L.LOG"": the time stamps are two (2) hours ahead of PST. The correct “Time turned on” and the missing “Time turned off” time stamp on the (meta)data sheet were determined from the log file and digitized correctly in PST in the Google Form by subtracting 2 hours from the logged start/stop time stamps.
4)	BaroTROLL was programmed to log data in 12-hr time from 8:00 AM to 9:00 PM PST. “Time turned on” was correctly manually recorded in PST in the field on the (meta)data sheet; but “Time started” and “Time done” were incorrectly recorded manually in PDT. “Time turned off” was not recorded. The “Time started” and “Time done” time stamps were digitized correctly in PST in the Google Form. The missing “Time turned off” time stamp was determined from the log file; converted to 24-hr time; and correctly digitized in PST on the Google Form."
T05P,Little Naches at Nile,RC2_0014,Lupita_Renteria; Aaron_Pelly,5/6/2021,PST,11:04:00,11:30:00,46.988953,-121.098028,15,9:16:00,11:08,11:19,17:59,03214655L,8:00:00,11:08:00,11:19,21:00:00,801493,15K100760,"Post-field (meta)data sheet corrections (by S. Fulton): 1) Time zone manually recorded incorrectly in the field on the (meta)data sheet as ""PST"" when it was actually PDT; and all time stamps were manually recorded incorrectly in PDT with very few exceptions (see #4; below). The time zone on the (meta)data sheet has been manually corrected to ""PDT"" and time stamps left ""as is;"" but the time zone and all time stamps on this (meta)data sheet were correctly digitized in the Google Form in PST. 2) Photograph time stamps are in PDT. 3) Manta logging was manually turned on upon arrival at the American River site and manually turned off upon departure from the Yakima River at Kiona site. “Time turned on” and “Time turned off” time stamps were not entered on the (meta)data sheet. On May 24; 2021; RC-2 discovered that the time stamps are wrong in log file ""2021-05-06_MANTA_4655L.LOG"": the time stamps are two (2) hours ahead of PST. The missing “Time turned on” time stamp was determined from the American River (meta) data sheet and digitized correctly in PST in the Google Form by subtracting one (1) hour. The missing Time turned off” time stamp was determined from the log file and digitized correctly in PST in the Google Form by subtracting 2 hours from the logged stop time stamp. 4) BaroTROLL was programmed to log data in 12-hr time from 8:00 AM to 9:00 PM PST. “Time turned on” was correctly manually recorded in PST in the field on the (meta)data sheet; but “Time started” and “Time done” were incorrectly recorded manually in PDT. “Time turned off” was not recorded. The “Time started” and “Time done” time stamps were digitized correctly in PST in the Google Form. The missing “Time turned off” time stamp was determined from the log file; converted to 24-hr time; and correctly digitized in PST on the Google Form."
